f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,class
38.29,0.56,0.54,0.16,0.56,0.37,-0.12,-0.47,-0.47,-0.04,-0.18,0.63,0.34,-1.00,0.63,-0.24,-4.48,0.39,-7.96,0.39,-4.52,13.43,3.55,-15.89,13.43,-2.01,-0.87,1.73,-1.83,1.73,-0.56,pad
38.29,0.80,-0.18,-0.78,1.80,0.15,-1.41,-0.15,-1.41,1.05,-0.22,2.85,0.06,-1.77,2.85,0.08,2.14,2.97,-12.97,2.97,-5.92,8.53,-8.47,-19.38,30.69,0.81,-0.52,1.42,-4.32,16.31,1.76,pad
25.52,0.46,0.08,-0.44,0.46,-0.01,-0.47,-0.06,-0.47,0.40,0.06,1.12,-0.52,-0.76,1.12,-0.10,-1.38,-2.76,-4.64,-1.38,-3.22,4.71,-9.26,-9.26,7.90,0.69,1.09,-1.17,-1.17,6.44,1.37,pad
25.52,0.34,0.30,0.13,0.34,0.26,-0.29,0.05,-0.29,0.05,-0.08,0.48,-0.12,-0.12,0.48,0.11,-2.66,-3.12,-3.12,-1.70,-2.50,0.26,-0.04,-0.04,0.99,0.41,0.78,3.22,0.78,3.22,2.11,pad
25.52,0.36,0.21,-0.07,0.36,0.13,-0.36,-0.11,-0.36,0.26,-0.07,1.00,-0.41,-0.53,1.00,-0.03,-3.23,-3.30,-3.30,-2.10,-2.85,5.45,-6.87,-6.87,5.45,-0.05,1.92,2.37,0.30,4.02,2.15,pad
25.52,0.18,-0.05,-0.39,0.18,-0.02,0.40,0.13,0.04,0.60,0.25,0.25,0.32,-0.77,0.32,-0.14,-2.44,1.17,-3.40,1.17,-1.99,10.89,1.41,-11.75,10.89,-1.61,6.89,2.54,-0.38,6.89,2.42,pad
25.52,0.43,-0.11,-0.37,0.43,0.11,-0.41,0.00,-0.41,0.31,-0.08,0.94,-0.01,-0.64,0.94,-0.01,-1.45,1.07,-4.26,1.07,-1.82,2.64,-2.43,-9.25,5.46,-0.77,1.83,1.02,-0.00,5.47,2.06,pad
25.52,0.30,-0.10,-0.29,0.30,0.01,0.03,0.14,-0.15,0.47,0.12,0.42,-0.13,-0.39,0.42,-0.09,-4.50,-2.86,-4.50,-1.04,-2.46,4.91,-7.29,-7.29,4.91,-1.00,5.28,1.83,0.62,5.28,2.77,pad
25.52,0.19,0.16,-0.22,0.19,0.06,0.09,-0.12,-0.12,0.14,-0.00,0.12,-0.32,-0.76,0.12,-0.42,-4.56,-1.27,-4.56,-1.27,-2.96,7.29,-7.42,-7.42,7.29,-1.27,4.79,1.97,-0.21,4.79,1.66,pad
25.52,0.62,-0.00,-0.10,0.62,0.18,-0.57,0.09,-0.57,0.18,-0.12,1.04,-0.54,-0.81,1.04,-0.04,-0.09,-3.82,-7.83,-0.09,-4.29,13.12,-10.22,-10.22,13.12,0.11,1.22,0.35,-2.04,3.86,0.85,pad
38.29,0.23,0.07,-0.30,0.27,0.07,-0.14,-0.01,-0.14,0.13,-0.01,0.46,-0.37,-0.77,0.46,-0.31,-2.37,1.84,-2.37,1.84,0.12,5.51,-5.97,-6.64,5.51,-1.23,2.18,-1.05,-1.05,2.18,-0.09,pad
63.82,-0.17,-0.01,-0.52,0.90,0.05,1.12,-0.35,-0.50,1.12,-0.01,0.03,0.18,-3.07,0.18,-0.82,-27.14,23.45,-27.14,23.45,-2.84,19.47,43.15,-66.07,43.15,-9.31,2.55,-4.15,-7.70,6.88,0.61,pad
51.05,1.21,-0.05,-0.34,1.21,-0.01,0.90,-0.28,-0.46,0.90,0.09,-0.27,1.41,-1.55,1.41,-0.36,-4.14,2.42,-17.81,8.86,-4.26,-1.35,12.30,-33.09,13.86,1.99,9.83,-3.16,-7.99,9.83,0.73,pad
51.05,2.24,0.62,-1.04,2.24,-0.02,-1.36,-0.49,-1.36,1.48,-0.09,3.34,0.68,-1.51,3.34,-0.06,-24.33,8.45,-24.33,13.03,-4.09,-40.48,41.20,-124.50,79.92,-6.55,16.86,3.31,-12.26,16.86,1.67,pad
63.82,-0.03,0.54,-0.48,0.59,-0.07,0.62,0.03,-0.37,0.62,0.01,0.76,0.43,-0.89,0.76,-0.24,-6.74,-0.91,-12.66,11.00,-0.58,31.23,1.89,-45.77,37.08,3.87,16.36,-1.72,-11.83,16.36,-1.54,pad
63.82,1.21,0.35,-0.76,1.21,-0.06,0.48,-0.35,-0.35,1.23,0.14,0.08,0.23,-1.21,0.23,-0.36,-5.54,12.12,-13.64,12.12,-0.77,-27.83,26.47,-55.41,53.47,-1.69,22.49,-8.63,-13.18,22.49,-1.28,pad
63.82,1.32,-0.24,-0.82,1.32,-0.11,-0.54,-0.03,-0.54,0.62,0.01,0.49,0.61,-0.77,0.61,-0.30,-0.22,18.96,-8.34,18.96,1.87,-1.78,33.66,-21.93,49.20,3.46,14.30,-2.85,-8.14,14.30,0.77,pad
51.05,0.35,0.33,-0.58,0.39,0.02,0.83,-0.40,-0.40,0.83,-0.01,-1.42,0.78,-1.42,0.78,-0.53,-12.29,9.67,-12.29,13.74,-0.79,-12.75,14.72,-29.71,26.47,-1.97,5.76,-4.29,-6.10,5.76,-0.31,pad
76.58,2.23,0.36,-1.42,2.23,-0.07,-1.25,-0.18,-1.25,1.27,0.00,2.60,0.78,-0.91,2.60,-0.18,-11.41,11.27,-11.41,11.74,-1.13,-13.41,16.60,-37.59,30.26,-2.30,25.76,-5.25,-10.13,25.76,-0.14,pad
63.82,-0.75,0.05,-0.75,0.06,-0.17,0.54,-0.23,-0.24,0.54,0.01,-0.62,-0.70,-1.21,-0.40,-0.84,-12.82,15.30,-16.18,15.30,0.15,-26.46,13.28,-37.27,24.69,-5.63,4.18,-12.49,-12.74,4.18,-3.64,pad
51.05,2.54,0.92,-2.55,2.54,0.00,-1.46,-0.20,-1.46,1.50,-0.03,6.32,2.21,-2.17,6.32,-0.19,-15.98,20.86,-24.79,28.70,-3.64,87.22,6.80,-52.12,87.22,0.96,36.68,5.99,-18.87,36.68,-0.09,pad
51.05,2.47,0.75,-1.88,2.47,-0.02,-0.92,-0.27,-0.92,0.97,0.01,4.50,2.49,-2.61,4.50,-0.44,-30.15,27.11,-30.15,38.59,1.77,33.34,-30.38,-36.58,56.84,7.04,29.35,-6.98,-15.90,29.35,-0.74,pad
51.05,10.73,0.60,-3.54,10.73,0.15,-10.13,-0.63,-10.13,3.74,-0.32,14.86,2.52,-3.38,14.86,-0.05,-61.47,27.25,-61.47,33.76,-3.52,124.27,-3.06,-64.77,124.27,0.22,72.73,-4.14,-11.74,72.73,2.36,pad
63.82,-3.87,1.21,-3.87,1.21,-0.34,6.69,-0.96,-0.96,6.69,0.40,-1.99,2.43,-3.55,2.43,-0.87,-31.56,13.92,-31.56,26.71,10.13,40.32,-12.56,-38.16,71.34,-8.24,37.72,6.61,-21.47,37.72,-2.89,pad
63.82,1.50,0.28,-2.73,1.50,-0.13,2.11,-0.39,-0.48,2.11,0.13,3.23,0.54,-2.36,3.23,-0.50,-34.98,31.79,-34.98,31.79,-6.15,111.43,-19.61,-78.11,111.43,-0.72,63.18,-8.83,-8.83,63.18,1.50,pad
51.05,-0.13,0.08,-0.48,0.37,-0.04,-0.03,-0.16,-0.40,0.38,-0.02,0.43,2.83,-3.04,2.83,-0.64,-6.88,32.82,-16.55,32.82,-1.93,43.64,-1.23,-89.19,43.64,-10.62,8.55,0.84,-0.95,13.85,4.89,pad
51.05,4.26,0.34,-1.85,4.26,0.15,-3.86,-0.29,-3.86,3.66,-0.02,8.59,2.27,-2.67,8.59,-0.28,-19.82,29.66,-43.36,33.77,0.67,69.82,-24.83,-62.13,125.37,-1.15,26.30,-5.85,-11.13,33.72,-1.83,pad
63.82,-1.37,0.68,-1.37,0.68,-0.18,0.00,-0.81,-0.81,0.74,-0.05,-0.50,2.32,-2.21,2.32,-0.61,-14.10,23.01,-26.32,23.01,-7.80,36.42,2.21,-61.68,36.42,-14.57,-4.96,0.88,-11.79,6.59,-1.15,pad
51.05,1.22,0.85,-2.85,1.24,-0.18,3.35,-0.86,-0.86,3.35,0.35,3.12,2.17,-1.31,3.12,-0.49,-36.14,24.90,-36.14,24.90,-6.52,107.44,-8.72,-55.03,119.89,3.04,54.22,-2.81,-17.40,54.22,-0.34,pad
63.82,0.51,-0.39,-2.63,1.32,-0.10,3.57,0.48,-0.89,4.13,0.35,2.50,2.96,-3.90,2.96,-0.88,-52.68,49.91,-52.68,50.26,1.27,82.39,-69.37,-132.83,93.20,-13.99,40.91,-20.76,-20.76,40.91,3.19,pad
25.52,-0.12,0.29,-0.46,0.29,-0.02,0.18,-0.64,-0.64,0.65,-0.01,-4.03,0.39,-4.03,0.39,-2.10,-13.69,-5.99,-28.11,-5.99,-19.64,10.77,-34.96,-84.97,10.77,-48.24,0.91,2.57,-6.37,3.86,-0.24,knuckle
25.52,-0.56,0.01,-0.56,0.19,-0.07,-0.55,0.04,-0.55,1.14,0.19,4.24,-0.86,-3.49,4.24,-1.02,-19.36,-12.41,-20.89,-6.06,-15.05,77.33,-60.50,-65.54,77.33,-6.07,11.51,-3.11,-3.11,11.51,2.33,knuckle
25.52,-0.51,0.06,-0.51,0.06,-0.15,1.00,0.17,0.17,1.00,0.52,-2.43,-2.47,-3.14,-2.43,-2.68,-1.37,-21.63,-21.63,-1.37,-11.95,46.17,-57.61,-57.61,46.17,-7.44,4.94,-1.22,-2.96,4.94,0.25,knuckle
25.52,0.23,-0.01,-0.07,0.29,0.09,-0.09,-0.47,-0.47,0.88,0.09,-0.45,0.14,-2.59,0.14,-1.50,-8.44,-0.37,-21.56,-0.37,-9.12,68.51,-21.76,-49.02,68.51,-5.80,6.59,-0.81,-4.50,6.59,0.46,knuckle
25.52,0.34,-0.31,-0.31,0.34,0.09,1.18,0.43,-0.01,1.18,0.54,-2.89,-1.85,-3.70,-1.85,-2.99,-1.68,-21.88,-21.94,-1.68,-12.08,60.88,-75.91,-75.91,60.88,-11.24,9.45,-4.75,-4.75,9.45,0.96,knuckle
25.52,0.39,-0.12,-0.67,0.39,-0.22,-1.00,-0.25,-1.00,1.03,-0.07,5.90,-0.67,-2.22,5.90,-0.02,-14.60,-5.55,-20.25,-5.55,-12.19,71.10,-33.45,-56.11,71.10,2.52,12.63,-2.76,-5.74,13.86,2.14,knuckle
25.52,-0.69,-0.05,-0.69,0.34,-0.07,-0.32,-0.33,-0.33,1.28,0.20,2.86,-0.91,-3.25,2.86,-1.51,-13.31,-14.90,-27.39,2.86,-14.18,88.72,-65.81,-78.03,88.72,-8.38,12.43,-4.79,-5.43,12.43,0.52,knuckle
25.52,-0.00,-0.05,-0.57,0.22,-0.05,1.08,-0.31,-0.31,1.17,0.43,-1.76,-0.97,-2.76,-0.97,-2.14,-7.86,-10.91,-26.98,-1.22,-13.73,64.87,-50.50,-67.36,64.87,-11.01,12.92,-0.72,-4.16,12.92,1.53,knuckle
25.52,-0.42,0.04,-0.42,0.07,-0.09,-0.46,-0.22,-0.46,0.86,0.17,3.93,-0.90,-2.27,3.93,-0.61,-8.99,-14.45,-26.88,2.20,-12.02,78.52,-46.96,-56.44,78.52,-0.08,10.49,-1.76,-2.22,10.49,2.18,knuckle
25.52,-0.46,0.08,-0.46,0.08,-0.09,-0.08,-0.28,-0.28,0.68,0.17,2.37,-1.16,-2.77,2.37,-1.32,-10.13,-11.07,-26.48,2.58,-12.73,75.35,-53.31,-62.85,75.35,-5.09,8.82,-2.43,-4.71,8.82,0.61,knuckle
25.52,-1.01,0.04,-1.01,1.11,0.08,-0.77,-0.56,-0.77,2.39,-0.03,2.35,-0.50,-2.51,2.35,-1.00,3.87,12.53,-28.46,12.53,-11.18,167.28,-44.40,-63.68,167.28,5.33,23.81,1.25,-15.36,23.81,-1.48,knuckle
25.52,0.36,-0.44,-0.90,0.96,-0.05,0.09,-0.55,-0.76,2.96,0.20,0.63,0.14,-3.77,0.63,-1.91,-0.37,17.44,-22.55,17.44,-4.36,151.34,-77.18,-105.60,151.34,-9.09,28.81,-8.07,-18.15,28.81,-4.18,knuckle
25.52,1.16,-0.17,-1.12,1.16,-0.10,-0.87,-0.51,-0.87,1.53,0.12,2.13,1.02,-3.63,2.13,-1.46,-10.13,11.33,-25.77,11.33,-10.29,124.44,-36.92,-66.73,124.44,-8.82,17.08,-5.04,-11.44,21.95,-1.21,knuckle
25.52,1.12,-0.30,-0.88,1.12,0.22,-1.93,-0.30,-1.93,2.39,0.18,13.01,1.37,-3.84,13.01,-0.34,7.07,17.83,-31.31,17.83,-6.84,196.90,-14.61,-105.89,196.90,0.57,23.19,-0.88,-9.51,29.83,3.24,knuckle
25.52,0.45,0.07,-0.79,0.45,0.07,-1.37,-0.21,-1.37,1.62,-0.10,8.92,-0.36,-3.21,8.92,-0.18,-0.25,0.57,-25.13,0.57,-11.43,138.68,-43.46,-77.38,138.68,6.01,16.45,-1.92,-9.33,19.39,2.21,knuckle
25.52,-0.24,0.26,-0.24,0.38,0.07,-0.03,-0.45,-0.45,1.77,0.32,-0.46,-0.49,-3.12,-0.46,-2.05,-14.23,-9.06,-32.03,5.83,-13.39,119.15,-54.05,-86.58,119.15,-2.85,17.09,-1.79,-10.12,17.09,0.11,knuckle
25.52,0.08,-0.30,-1.28,0.28,-0.18,-1.04,-0.28,-1.04,1.12,0.09,2.74,-0.42,-2.32,2.74,-1.03,-14.36,7.95,-22.74,7.95,-8.21,95.32,-16.97,-49.79,95.32,2.82,17.31,-4.51,-8.98,18.46,0.03,knuckle
25.52,-0.06,-0.31,-1.16,0.26,-0.14,-1.41,-0.31,-1.41,1.90,0.11,5.20,0.89,-3.62,5.20,-0.62,-13.10,8.09,-26.45,8.09,-8.40,105.79,-3.92,-70.19,105.79,-8.27,15.04,-1.34,-10.71,15.04,-0.68,knuckle
25.52,0.52,-0.43,-0.63,0.52,-0.15,0.84,-0.36,-0.44,2.06,0.36,-2.17,0.23,-2.91,0.23,-1.54,-14.43,7.32,-30.59,7.32,-11.85,88.31,-4.04,-60.60,88.31,-10.75,18.43,-2.82,-8.39,18.43,-1.26,knuckle
25.52,-1.13,-0.19,-1.13,-0.05,-0.40,-0.56,-0.30,-0.56,1.01,0.12,3.57,-0.43,-2.25,3.57,-0.72,-15.65,-3.49,-23.21,4.80,-8.82,65.36,-27.60,-47.16,65.36,-1.56,9.01,-1.45,-4.00,9.01,0.85,knuckle
25.52,1.19,0.15,-0.32,1.19,0.33,0.61,-0.26,-0.45,0.61,-0.06,-6.65,0.26,-6.65,0.26,-2.71,-15.44,4.59,-22.43,4.59,-9.69,42.37,-16.83,-71.96,42.37,-24.64,-14.37,-0.50,-14.37,7.51,-4.97,knuckle
25.52,-0.05,0.14,-0.05,1.64,0.38,-0.04,-0.49,-0.98,0.19,-0.19,3.73,0.19,-4.63,3.73,-1.05,-38.20,-0.03,-38.20,-0.03,-14.30,110.63,-12.00,-48.94,110.63,0.72,0.59,1.33,-11.68,4.22,-2.38,knuckle
38.29,1.07,-0.31,-0.31,1.07,0.45,0.56,0.31,-1.34,0.56,-0.16,-4.38,-0.75,-4.38,-0.75,-2.59,7.30,-12.92,-12.92,7.30,-4.04,13.66,-60.33,-60.33,13.66,-21.46,-14.87,-5.70,-14.87,4.19,-5.46,knuckle
25.52,-1.83,-0.21,-1.83,0.55,-0.09,1.85,-0.32,-0.75,1.85,-0.01,-9.66,1.03,-9.66,1.03,-2.60,-32.02,6.59,-32.02,18.96,-0.90,79.28,-9.94,-49.79,79.28,-1.40,-16.08,0.80,-16.08,0.80,-5.91,knuckle
25.52,-0.93,0.07,-0.93,0.56,0.00,1.32,-0.47,-0.48,1.32,0.14,-8.26,-0.61,-8.26,-0.61,-2.96,0.58,-2.53,-21.17,23.48,-3.64,37.35,-26.38,-63.35,37.35,-17.32,-7.52,0.15,-7.52,0.15,-2.69,knuckle
25.52,0.44,0.02,0.02,0.44,0.20,0.12,-0.27,-0.38,0.33,-0.05,-2.38,-0.46,-2.38,-0.46,-1.18,32.80,-8.11,-19.79,32.80,0.25,13.62,-33.69,-58.65,13.62,-20.71,-6.49,-4.02,-6.49,0.95,-2.63,knuckle
25.52,-0.96,-0.08,-0.96,0.02,-0.26,0.12,-0.20,-0.28,0.34,-0.01,-7.87,-0.87,-7.87,-0.87,-2.81,12.17,-7.22,-18.38,12.17,-1.80,25.28,-43.52,-53.42,25.28,-19.81,-16.79,-5.83,-16.79,9.25,-4.69,knuckle
25.52,-0.86,-0.24,-0.86,0.26,-0.08,1.06,-0.19,-0.48,1.06,0.02,-6.55,0.62,-6.55,0.62,-1.57,22.96,7.53,-10.27,22.96,5.82,24.92,-12.26,-37.48,28.36,-8.64,-8.54,-0.23,-8.54,2.64,-2.81,knuckle
38.29,-0.18,-0.14,-0.60,0.08,-0.15,0.41,-0.25,-0.31,0.57,0.07,-7.89,0.49,-7.89,0.49,-2.62,-4.20,6.91,-15.78,27.12,1.33,47.56,-2.45,-50.31,47.56,-5.31,-3.37,0.12,-4.28,0.12,-2.69,knuckle
38.29,-0.80,-0.22,-0.80,0.42,-0.13,0.60,-0.32,-0.36,0.60,0.02,-5.92,0.22,-5.92,0.22,-1.66,28.51,5.93,-14.77,28.51,5.13,21.43,-15.87,-33.31,23.23,-8.11,-6.31,-4.29,-6.31,2.48,-3.53,knuckle
25.52,0.17,-0.18,-0.18,0.17,-0.01,0.27,-0.07,-0.13,0.27,0.06,-0.72,-0.17,-1.08,-0.17,-0.57,-9.31,-0.06,-14.11,-0.01,-4.71,6.44,-10.85,-14.46,6.44,-4.78,3.19,-1.07,-1.63,3.19,-0.10,knuckle
25.52,0.03,-0.11,-0.27,0.03,-0.12,0.19,-0.23,-0.23,0.54,0.12,-0.55,-0.01,-0.96,-0.01,-0.65,-3.23,2.76,-9.36,3.51,-2.48,18.93,0.12,-16.51,18.93,-1.22,6.19,-1.54,-2.91,6.19,0.14,knuckle
25.52,0.24,0.01,-0.25,0.24,-0.02,-0.46,-0.15,-0.46,0.26,-0.14,1.99,0.03,-1.05,1.99,0.11,0.94,-0.84,-10.64,0.94,-4.27,25.43,-8.71,-27.22,25.43,-1.22,1.64,-2.19,-2.60,4.00,0.22,knuckle
25.52,0.10,0.07,-0.39,0.29,-0.03,-0.11,-0.36,-0.36,0.44,0.01,1.89,-0.58,-1.34,1.89,0.09,4.11,-3.69,-15.65,4.11,-6.39,25.79,-13.10,-24.29,25.79,1.17,2.73,-4.30,-4.30,5.75,0.80,knuckle
25.52,0.39,-0.01,-0.10,0.39,0.06,0.08,-0.05,-0.05,0.45,0.11,2.30,-0.70,-1.26,2.30,0.09,-1.47,-10.79,-12.69,-1.47,-7.21,4.41,-12.53,-12.53,20.84,4.51,3.48,-0.91,-0.91,3.61,1.57,knuckle
25.52,-0.30,-0.13,-0.30,0.13,-0.07,-0.42,-0.06,-0.42,0.10,-0.13,0.43,-0.57,-0.70,0.43,-0.36,-12.45,-6.81,-12.45,-0.27,-5.23,6.50,-8.69,-8.69,6.50,0.38,-0.47,-0.49,-2.88,0.49,-0.84,knuckle
